category,code,name,price,quantity
BOSCH ITEM,02043180344AR,M7007903 TMC ASSY. ACE,0.00,2.00
BOSCH ITEM,02043180744AR,"M8032411 BOOSTER ASSY  9"" RHD",0.00,1.00
BOSCH ITEM,02043180774AR,M8034716 BOOSTER ASSY. TAVERA,0.00,1.00
BOSCH ITEM,02043180814AR,M8037208 WITH TMC SWIFT PETROL,5285.00,1.00
BOSCH ITEM,02043180824AR,"M8037618 BOOSTER ASSY 10""SCORPIO",0.00,3.00
BOSCH ITEM,F002H239058F8,P1100413 BRAKE ROTER CAR 800/ ZEN,700.00,3.00
BOSCH ITEM,02047162647GM,P1102312 BRAKE DISC WAGON R,0.00,1.00
BOSCH ITEM,F002H239068F8,P1102722 BRAKE ROTER SWIFT RT906,1250.00,8.00
BOSCH ITEM,02047156204AR,P6006548 STURT ASSY. RH.(CULTUS),0.00,1.00
BOSCH ITEM,02047156194AR,P6009715 STURT CAR,0.00,6.00
BOSCH ITEM,02047156187GM,P6009811STRUT Parking Shoe RH Car,0.00,3.00
BOSCH ITEM,02043183247GM,P6200317 PIN SET M.CAR/ZEN,0.00,10.00
BOSCH ITEM,02043185107GM,P7002803 CL M.CYL. T1BT,0.00,6.00
BOSCH ITEM,02043185264AR,P7007707 TMC BAJAJ TEMPO,0.00,2.00
BOSCH ITEM,02043185354AR,P7009604 BRAKE MASTER CYL.M.CAR,0.00,10.00
BOSCH ITEM,02043185384AR,P7011800 TMC ASSY. M.VAN,0.00,3.00
BOSCH ITEM,02043185534AR,P7015000 MASTER CYL. KIT MPFI,1325.00,4.00
BOSCH ITEM,02043185544AR,P7015218 TMC ASSY.W/O RES. WAG-R,0.00,1.00
BOSCH ITEM,02043185674AR,P7018009 CL. SLEEVE TRAX,0.00,8.00
BOSCH ITEM,02043185694AR,P7018404 TMC ASSY OMNI,0.00,6.00
BOSCH ITEM,0986AB8111E7A,P7031306 W/C ASSY. LHM.VAN REAR,0.00,33.00
BOSCH ITEM,0986AB8110E7A,P7031310 W.CYL.ASSY,0.00,29.00
BOSCH ITEM,02043185794AR,P7031904 W/C ASSY M.CAR,0.00,22.00
BOSCH ITEM,02043185864AR,P7035008 W.CYL.ASSY JEEP,0.00,2.00
BOSCH ITEM,0986AB8114E7A,P7038508 W. CYL.ASSY REAR ZEN,0.00,18.00
BOSCH ITEM,02043185984AR,P7040503 W/C ASSY WAGON R/ALTO,0.00,25.00
BOSCH ITEM,02043189854AR,P7040702 CLUTCH SLEEVE M&M,0.00,2.00
BOSCH ITEM,02043188514AR,P8034007 SV851 BOSCH REPAIR KIT,5380.00,4.00
BOSCH ITEM,0204790943,P8034904 TMC W/ BOOSTER & KIT MARUTI,0.00,2.00
BOSCH ITEM,F002H241038F8,PD103 BRAKE PAD  AMAZE PETROL,1250.00,1.00
BOSCH ITEM,02043188834AR,PD2606 M.CYL ASSY TATA ACE,0.00,5.00
BOSCH ITEM,02043189014AR,PD2803 W. CYL. ASSY. OMNI,0.00,12.00
BOSCH ITEM,02043189414AR,PD3317 W/C ASSY. OMNI NEW,0.00,12.00
BOSCH ITEM,02043189424AR,PD3369 BRAKE MASTER CYLINDER,2310.00,2.00
BOSCH ITEM,02043189427GM,PD3369 TMC WITH RES.ASSY ALTO,0.00,1.00
BOSCH ITEM,F002H236418F8,PD641 PAD KIT TATA WINGER,0.00,3.00
